unit_id	code	file	in_blocks	out_blocks	in_chars	out_chars	retain_pct	status
P2.EX.031	C	23c2898e-e996-4090-ae8b-188917f20f27.jsonl	2150	1944	786517	756855	96.2	done
P2.EX.032	C	24a5d05a-47a0-489a-a23d-d54529016eed.jsonl	5	4	801	556	69.4	done
P2.EX.033	C	27bfc299-c0dc-4351-9e1a-d8111b297ebd.jsonl	25	25	6253	6253	100.0	done
P2.EX.034	C	29d361e9-822f-425a-9d39-10ac1aca8798.jsonl	59	57	51893	51403	99.1	done
P2.EX.035	C	2a59a100-2a84-4f75-8fa1-b65f07d96e25.jsonl	12	12	10972	10972	100.0	done
P2.EX.036	C	2c2507ac-7c3b-47d5-8c3a-0946a735ff0b.jsonl	4	4	5445	5445	100.0	done
P2.EX.037	C	2f623bdd-a2f2-4b37-abac-cb5703041433.jsonl	0	0	0	0	100.0	done
P2.EX.038	C	2f6b56db-f146-4079-b23b-65f9755911ce.jsonl	660	636	236703	232118	98.1	done
P2.EX.039	C	2f8eee46-2595-4a8d-a1d3-6726e216102f.jsonl	287	270	94374	91741	97.2	done
P2.EX.040	C	3169106b-5a63-42e7-9997-f7c57a05550b.jsonl	139	134	40036	38811	96.9	done
P2.EX.041	C	3327ceb5-d6ab-48c4-ad82-67c41e60b351.jsonl	1829	1697	679344	660508	97.2	done
P2.EX.042	C	34fbfb2f-741d-4b44-ba8c-aa9b28ab6f9a.jsonl	683	657	237719	234404	98.6	done
P2.EX.043	C	373d8fec-39a7-450b-a648-3df04e21bb28.jsonl	540	496	225915	217806	96.4	done
P2.EX.044	C	3a446d62-4a98-42d0-a225-643aaef6cce0.jsonl	6	5	856	611	71.4	done
P2.EX.045	C	3a506496-4622-46d9-9ec0-11e909ea6fdd.jsonl	201	192	63409	62277	98.2	done
P2.EX.046	C	44213247-5190-46d8-9bb4-41f274328155.jsonl	23	23	15801	15801	100.0	done
P2.EX.047	C	49e38849-af53-455d-8588-b2fd42836ea4.jsonl	71	64	23119	21949	94.9	done
P2.EX.048	C	49eecc56-d6c1-4fb8-af0b-86ea5862f3d5.jsonl	387	373	203648	201849	99.1	done
P2.EX.049	C	4b73e14e-d47a-446d-88f7-7830a83d0049.jsonl	3	3	426	426	100.0	done
P2.EX.050	C	4e229c07-e9e8-4ca8-b6fe-2824286b1a1b.jsonl	49	48	7374	7129	96.7	done
P2.EX.051	C	4e8e244f-3e9d-4a64-8bb5-31db6c198800.jsonl	2	2	21	21	100.0	done
P2.EX.052	C	4ebffa9c-ffa3-482c-97e5-b3bafac62c66.jsonl	10	10	2292	2292	100.0	done
P2.EX.053	C	507e1672-294b-4f08-9db5-b76f5b4f12dd.jsonl	288	283	130763	130184	99.6	done
P2.EX.054	C	5116a0c7-9381-416f-8255-c530b6a4958a.jsonl	2271	2126	843842	804254	95.3	done
P2.EX.055	C	53ad0a8d-1559-452d-ae71-f62621215c5b.jsonl	970	867	1454553	1434873	98.6	done
P2.EX.056	C	5428381a-2fc0-406f-9aa7-f9bb15e41a1b.jsonl	1797	1675	556786	531890	95.5	done
P2.EX.057	C	5706c400-97a2-4203-b280-81b908c3fe4d.jsonl	361	342	209882	206050	98.2	done
P2.EX.058	C	5c1ede59-cf31-44b1-8321-2e8ae3fb4ddb.jsonl	634	612	197281	194352	98.5	done
P2.EX.059	C	5c7671d8-9fd1-4b6a-b511-e9159c0aaf41.jsonl	2	2	375	375	100.0	done
P2.EX.060	C	5dfe7cdf-2dff-49b6-a023-556ef9f5b8a3.jsonl	1767	1622	614215	592489	96.5	done
P2.EX.061	C	5e2939ac-00ed-4e94-aab5-f715b5287ed0.jsonl	1276	1240	497375	490010	98.5	done
P2.EX.062	C	5eb51ee1-ff7f-4e55-bec9-69301a25d4ca.jsonl	454	431	183414	179402	97.8	done
P2.EX.063	C	5fcf08a5-6f94-4122-80e3-d6b4eda2c6e6.jsonl	311	303	161957	160704	99.2	done
P2.EX.064	C	60db8048-875e-4c9f-b80f-321b65203639.jsonl	3	3	426	426	100.0	done
P2.EX.065	C	60f1e6fd-3450-4295-ac46-7c54b341d28a.jsonl	522	488	199264	195189	98.0	done
P2.EX.066	C	6341abe3-9d46-4dbd-8ada-bfac6dc49a1b.jsonl	486	451	140663	134327	95.5	done
P2.EX.067	C	659b47bf-e1e6-4820-a5a5-8439ab3f9617.jsonl	209	201	56991	55767	97.9	done
P2.EX.068	C	68cc5929-518c-446d-84f0-dc42e258f2ba.jsonl	1432	1316	719035	691668	96.2	done
P2.EX.069	C	694f2eb9-aa8b-4dbc-abea-470812352ab4.jsonl	29	27	15814	15568	98.4	done
P2.EX.070	C	6d498666-029d-4a0f-acec-87545c72ad7e.jsonl	461	442	154379	150810	97.7	done
P2.EX.071	C	6dbf5aa0-b539-4ef6-b682-fa1d381dee13.jsonl	95	91	58619	58007	99.0	done
P2.EX.072	C	6ef2d4ca-13a0-4884-b32f-d64eda1c0f31.jsonl	3	3	426	426	100.0	done
P2.EX.073	C	6fd3b9fd-5e5a-433b-9c3e-640eecab34ff.jsonl	2927	2683	2105550	2044109	97.1	done
P2.EX.074	C	7035d9ce-9933-48a2-a509-c3d27802340b.jsonl	8	8	824	824	100.0	done
P2.EX.075	C	70f3b26a-005f-4fb2-9461-c9958da7315b.jsonl	1717	1615	524966	510979	97.3	done
P2.EX.076	C	7408019a-7dea-4c5c-ae0a-2a736b179576.jsonl	64	61	30344	29775	98.1	done
P2.EX.077	C	74587bb1-2452-4718-9ddb-91dcf04506c7.jsonl	2	2	375	375	100.0	done
P2.EX.078	C	75adee94-a48c-4f26-a744-a1d6754142e4.jsonl	970	933	425255	420935	99.0	done
P2.EX.079	C	76327556-4f2b-4a98-8b7f-e5a3a9a96525.jsonl	2	2	1247	1247	100.0	done
P2.EX.080	C	7a154dcd-fd72-4ad7-b610-d17ab8ae0798.jsonl	356	334	233618	225913	96.7	done
P2.EX.081	C	7c9bff32-d857-49b6-8b93-600a47ed789d.jsonl	2	2	375	375	100.0	done
P2.EX.082	C	7dde3f08-0f78-4eeb-b9b8-1741f7e3bd73.jsonl	664	627	312053	304858	97.7	done
P2.EX.083	C	80d71c59-cc25-47fa-8d7c-b82269a2c152.jsonl	3678	3351	1636663	1553531	94.9	done
P2.EX.084	C	858a8291-7461-40ff-a0a2-a5e18427eba5.jsonl	1145	1012	389215	371044	95.3	done
P2.EX.085	C	8b3685dc-ac91-4fe9-aba8-948f47e7a7d4.jsonl	220	214	103392	102634	99.3	done
P2.EX.086	C	9189ced3-3878-45ee-8f80-71642092f498.jsonl	53	48	27519	26754	97.2	done
P2.EX.087	C	92a2a5fc-cf99-472e-b8bf-5f001168fe3a.jsonl	655	631	316254	312969	99.0	done
P2.EX.088	C	94aba610-3d8d-44e6-a2f1-851adf205f85.jsonl	234	231	125044	124646	99.7	done
P2.EX.089	C	95606158-9ca1-4beb-8b13-769f29589b33.jsonl	529	497	187094	181460	97.0	done
P2.EX.090	C	96e42b6e-b48a-428a-9be1-740520686be8.jsonl	4	4	417	417	100.0	done
P2.EX.091	C	97706886-6b8f-4c10-a3eb-d308b8b91af2.jsonl	3	2	493	248	50.3	done
P2.EX.092	C	97c5121b-8f28-4157-ae48-6815a4432205.jsonl	13	13	12701	12701	100.0	done
P2.EX.093	C	9a8ab1d4-ee06-4a24-823d-6ba1f4d39bf2.jsonl	659	599	284339	272888	96.0	done
P2.EX.094	C	9bacaa19-5b50-4f48-b584-e5f2a5f2ce70.jsonl	27	25	5915	5425	91.7	done
P2.EX.095	C	9c86f9e5-ff73-468b-8473-daa867f42443.jsonl	466	437	215518	209718	97.3	done
P2.EX.096	C	9fd8d0c7-765c-4a05-84b6-cb1879721cc9.jsonl	16	15	6125	6124	100.0	done
P2.EX.097	C	a0764698-7c22-4de1-83d4-1ac1a338353a.jsonl	3804	3591	1772558	1726087	97.4	done
P2.EX.098	C	a96e2bb4-63fb-4fe3-8b18-25faa132eebe.jsonl	147	143	85344	85339	100.0	done
P2.EX.099	C	a9c72dd6-da55-4bc8-a2dc-b796f8861d03.jsonl	41	37	16661	15926	95.6	done
P2.EX.100	C	ae0d7b3b-c9d5-4e69-bcd6-b9330c228afc.jsonl	84	82	37876	37620	99.3	done
P2.EX.101	C	b04384c8-7c5f-458c-a489-a82f3db6eddd.jsonl	83	82	73329	73084	99.7	done
P2.EX.102	C	b09168df-7710-4cca-ab1a-dd9f63e6e38b.jsonl	454	431	236004	230870	97.8	done
P2.EX.103	C	b09e38f3-f448-4b3a-afb3-9067fff8cb75.jsonl	27	27	5083	5083	100.0	done
P2.EX.104	C	b2019784-230b-448b-8cc1-7a14c5a89344.jsonl	2906	2726	904974	878525	97.1	done
P2.EX.105	C	b4d3d650-e87d-4744-a801-878a3721936d.jsonl	1011	916	296738	285176	96.1	done
P2.EX.106	C	b73dd933-5bf2-4b1e-8cef-50320983af2b.jsonl	1140	1092	460479	450599	97.9	done
P2.EX.107	C	ba19e2dd-f6b9-4909-babf-d090c197be01.jsonl	6	5	945	700	74.1	done
P2.EX.108	C	bb410a17-7f9a-4cdb-a692-d5ae27989308.jsonl	601	554	293385	285095	97.2	done
P2.EX.109	C	bbc4435c-5ac5-4a16-8ca9-281fde582d48.jsonl	2582	2335	1279384	1233308	96.4	done
P2.EX.110	C	bbd13c70-9a63-412a-a774-7f7f00666d9b.jsonl	6	5	9316	9316	100.0	done
P2.EX.111	C	bd0304c8-bf7b-4e26-ab74-9948cbedb8e3.jsonl	1711	1495	906561	862092	95.1	done
P2.EX.112	C	bf31a4ee-e284-4127-b68e-05ccca8c4ed5.jsonl	6	4	1203	713	59.3	done
